SALON;GRUPO;LUGAR;SEMANA;FECHA;ALIMENTO;PRECIO;UNIDADES;OBSERVACIONES
1;5;ara;4;feb-27;granadilla;3990;lb;N/A
1;5;ara;4;feb-27;cebolla ;480;lb;N/A
1;5;ara;4;feb-27;lulo;1950;lb;N/A
1;5;ara;4;feb-27;manzana;1490;unidad;N/A
1;5;ara;4;feb-27;manzana (pq);3867;lb;N/A
1;5;ara;4;feb-27;zanahoria;900;lb;N/A
1;5;ara;4;feb-27;maracuya;2450;lb;N/A
1;5;ara;4;feb-27;fresa;5500;lb;N/A
1;5;ara;4;feb-27;coliflor;N/A;N/A;N/A
1;5;ara;4;feb-27;papa;N/A;N/A;N/A
1;5;ara;4;feb-27;tomate;N/A;N/A;N/A
1;5;ara;2;feb-13;granadilla;4290;lb;N/A
1;5;ara;2;feb-13;cebolla ;590;lb;N/A
1;5;ara;2;feb-13;lulo;1950;lb;N/A
1;5;ara;2;feb-13;manzana;1490;unidad;N/A
1;5;ara;2;feb-13;manzana (pq);3733;lb;N/A
1;5;ara;2;feb-13;zanahoria;850;lb;N/A
1;5;ara;2;feb-13;maracuya;N/A;N/A;N/A
1;5;ara;2;feb-13;fresa;N/A;N/A;N/A
1;5;ara;2;feb-13;coliflor;N/A;N/A;N/A
1;5;ara;2;feb-13;papa;N/A;N/A;N/A
1;5;ara;2;feb-13;tomate;N/A;N/A;N/A
1;5;paloquemao;3;feb-20;granadilla;1500;unidad;Costosa y poco abundante
1;5;paloquemao;3;feb-20;cebolla ;1500;lb;Escasa
1;5;paloquemao;3;feb-20;lulo;3000;lb;Poca oferta
1;5;paloquemao;3;feb-20;manzana;1500;unidad;N/A
1;5;paloquemao;3;feb-20;manzana (pq);N/A;N/A;N/A
1;5;paloquemao;3;feb-20;zanahoria;2000;lb;Mal aspecto y poco abundante
1;5;paloquemao;3;feb-20;maracuya;3000;lb;Poca oferta
1;5;paloquemao;3;feb-20;fresa;6000;lb;Mucha variedad
1;5;paloquemao;3;feb-20;coliflor;4000;unidad;Muy poca oferta y mal aspecto
1;5;paloquemao;3;feb-20;papa;1000;lb;Mucha oferta
1;5;paloquemao;3;feb-20;tomate;2000;lb;Estaba verde de acuerdo al vendedor
1;5;paloquemao;1;feb-07;granadilla;1000;unidad;Precio promedio de acuerdo al vendedor
1;5;paloquemao;1;feb-07;cebolla ;1000;lb;Abundante
1;5;paloquemao;1;feb-07;lulo;2000;lb;Poca oferta
1;5;paloquemao;1;feb-07;manzana;1500;unidad;N/A
1;5;paloquemao;1;feb-07;manzana (pq);N/A;N/A;N/A
1;5;paloquemao;1;feb-07;zanahoria;1000;lb;Amplia oferta
1;5;paloquemao;1;feb-07;maracuya;2000;lb;Poca oferta
1;5;paloquemao;1;feb-07;fresa;3000;lb;Amplia oferta, baja calidad
1;5;paloquemao;1;feb-07;coliflor;5000;unidad;Precio promedio de acuerdo al vendedor
1;5;paloquemao;1;feb-07;papa;1000;lb;Mucha oferta
1;5;paloquemao;1;feb-07;tomate;2000;lb;Mal aspecto
